fips,Total,Construction,Construction_pct,Educational_and_Health,Educational_and_Health_pct,Financial_Activities,Financial_Activities_pct,Information,Information_pct,Leisure_Hospitality,Leisure_Hospitality_pct,Manufacturing,Manufacturing_pct,Natural_Resources,Natural_Resources_pct,Other,Other_pct,Professional_Business_Services,Professional_Business_Services_pct,Public_Administration,Public_Administration_pct,Trade_Transport_Utilities,Trade_Transport_Utilities_pct,Unclassified,Unclassified_pct,Largest
01035,2677,50.0,0.01867762420620097,368.0,0.13746731415763916,45.0,0.016809861785580874,15.0,0.0056032872618602915,272.0,0.10160627568173328,499.0,0.1864026895778857,194.0,0.07246918192005977,46.0,0.017183414269704895,133.0,0.049682480388494585,,,1055.0,0.3940978707508405,,,Trade_Transport_Utilities
01037,1067,26.0,0.02436738519212746,126.0,0.11808809746954077,18.0,0.016869728209934397,0.0,0.0,63.0,0.059044048734770385,576.0,0.5398313027179007,32.0,0.02999062792877226,0.0,0.0,46.0,0.04311152764761012,,,163.0,0.1527647610121837,,,Manufacturing
01039,9951,430.0,0.043211737513817704,1784.0,0.17927846447593207,425.0,0.04270927544970355,55.0,0.005527082705255753,996.0,0.10009044317154055,2252.0,0.2263089136770174,174.0,0.017485679831172746,236.0,0.023716209426188323,466.0,0.04682946437543965,,,3133.0,0.31484272937393226,,,Trade_Transport_Utilities
01041,2942,59.0,0.020054384772263765,506.0,0.17199184228416042,106.0,0.03602991162474507,0.0,0.0,187.0,0.06356220258327669,1156.0,0.3929299796057104,156.0,0.05302515295717199,106.0,0.03602991162474507,0.0,0.0,,,602.0,0.20462270564242013,,,Manufacturing
01043,24532,1305.0,0.05319582586010109,3960.0,0.16142181640306538,887.0,0.03615685635088864,145.0,0.00591064731778901,3130.0,0.1275884558943421,5809.0,0.23679276047611283,402.0,0.016386760150008152,509.0,0.02074841023968694,1582.0,0.06448720039132562,,,6803.0,0.27731126691668023,,,Trade_Transport_Utilities
01045,12157,478.0,0.03931891091552192,1583.0,0.1302130459817389,407.0,0.033478654273258204,19.0,0.0015628855803240932,1182.0,0.0972279345233199,4061.0,0.3340462285103233,80.0,0.006580570864522497,194.0,0.015957884346467055,1609.0,0.13235173151270874,,,2544.0,0.20926215349181543,,,Manufacturing
01047,9631,440.0,0.04568580625064895,1853.0,0.1923995431419375,368.0,0.0382099470459973,81.0,0.008410341605233101,889.0,0.09230609490187935,2898.0,0.30090333298722877,182.0,0.018897310767313883,451.0,0.04682795140691517,675.0,0.07008618004360918,,,1794.0,0.18627349184923683,,,Manufacturing
01049,18808,674.0,0.03583581454700128,2610.0,0.1387707358570821,548.0,0.029136537643555935,168.0,0.00893236920459379,1843.0,0.0979902169289664,6470.0,0.344002552105487,363.0,0.019300297745640155,234.0,0.012441514249255636,1373.0,0.073000850701829,,,4525.0,0.2405891110165887,,,Manufacturing
01051,15144,844.0,0.05573164289487586,2398.0,0.15834653988378236,586.0,0.038695192815636555,70.0,0.0046222926571579505,3271.0,0.2159931325937665,2196.0,0.1450079239302694,217.0,0.014329107237189645,492.0,0.03248811410459588,858.0,0.05665610142630745,,,4212.0,0.27812995245641836,,,Trade_Transport_Utilities
01053,8802,460.0,0.052260849806862075,1286.0,0.14610315837309704,480.0,0.054533060668029994,27.0,0.003067484662576687,1178.0,0.13383321972279028,2030.0,0.23062940240854352,366.0,0.04158145875937287,169.0,0.019200181776868892,593.0,0.06737105203362873,,,2213.0,0.25142013178823,,,Trade_Transport_Utilities
01055,29388,871.0,0.029637947461548932,7401.0,0.2518374846876276,1145.0,0.03896148087654825,243.0,0.008268681094324213,3584.0,0.12195453926772833,5390.0,0.18340819382060705,31.0,0.0010548523206751054,699.0,0.023785218456512863,3482.0,0.11848373485776507,,,6542.0,0.2226078671566626,,,Educational_and_Health
01057,2793,66.0,0.023630504833512353,406.0,0.14536340852130325,110.0,0.039384174722520586,17.0,0.006086645184389545,301.0,0.10776942355889724,927.0,0.3319011815252417,234.0,0.08378088077336197,65.0,0.02327246688148944,49.0,0.017543859649122806,,,618.0,0.22126745435016112,,,Manufacturing
01059,9080,206.0,0.022687224669603524,847.0,0.09328193832599119,414.0,0.04559471365638767,26.0,0.0028634361233480176,712.0,0.07841409691629955,5022.0,0.5530837004405287,124.0,0.013656387665198238,129.0,0.01420704845814978,267.0,0.029405286343612336,,,1333.0,0.14680616740088107,,,Manufacturing
01061,3616,143.0,0.03954646017699115,269.0,0.07439159292035398,227.0,0.06277654867256637,0.0,0.0,366.0,0.10121681415929204,655.0,0.18113938053097345,385.0,0.1064712389380531,0.0,0.0,176.0,0.048672566371681415,,,1335.0,0.3691924778761062,,,Trade_Transport_Utilities
